conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1991117707971051773,Wed Nov 19 23:59:36 +0000 2025,0,@IdkGiannn Ohiya siii enak opentrip. Kalau aku rencananya naik krl trs nyambung mrt,1991295323499819110,,IdkGiannn,in,,0,0,0,https://x.com/undefined/status/1991295323499819110,1336921620091346945,
1991291507912110267,Wed Nov 19 23:44:26 +0000 2025,0,mau liburan nyantai emang enaknya naik gopar. mau lebih nyantai lagi naik krl sampe ckr lanjut walahar sampe pwk lanjut lagi pake lokal bdg,1991291507912110267,,,in,,0,0,0,https://x.com/undefined/status/1991291507912110267,1685807200437166080,
1991282302601818149,Wed Nov 19 23:07:51 +0000 2025,0,Untung lgsg mutusin otw naik krl klo ttp motoran ke kantor kyknya keujanan (walaupun ke stasiun td jg semper teles kebes),1991282302601818149,,,in,,0,0,0,https://x.com/undefined/status/1991282302601818149,1368158733214261252,
1991277789794955620,Wed Nov 19 22:49:55 +0000 2025,0,mana mutual zombie yg jam segini udah naik krl,1991277789794955620,,,in,,0,1,0,https://x.com/undefined/status/1991277789794955620,1788264130266435584,
1991275729141789173,Wed Nov 19 22:41:44 +0000 2025,0,Bagi banyak warga Jabodetabek KRL telah menjadi sahabat perjalanan yang dapat diandalkan sebagai moda transportasi umum menghubungkan mereka dari satu titik ke titik lainnya. https://t.co/WGjCNfOzip,1991275729141789173,,,in,,0,0,0,https://x.com/undefined/status/1991275729141789173,1604473330936909824,
1991072615729967251,Wed Nov 19 19:16:36 +0000 2025,0,@vvotanet lah gw ngalamin kemarin pas mng coba buat ngejar ke arah lrt dukuh atas kagak kekejar njir wkwk masih untung jadwal krl tanah abang nyampe jam 12 itupun jadwal terakhir akhirnya nyampe stasiun Tanah Abang naik ojol buat kerumah mending kata gw mah pikir Lagi nder,1991224105014833583,,vvotanet,in,,0,1,0,https://x.com/undefined/status/1991224105014833583,1550150630236631040,
1991217286154178809,Wed Nov 19 18:49:30 +0000 2025,1,Gah demn idup kok kyak naik krl yg kalo kepenuhan ditolakin tiap gerbong,1991217286154178809,,,in,,0,0,0,https://x.com/undefined/status/1991217286154178809,1179750950409342978,
1991209078765547837,Wed Nov 19 18:16:53 +0000 2025,1,Dulu .. era 98 -20 .. kl nginep disini sampe berhari hari. Krn Mbambong iku Mbois .. Dan Bolos sekolah itu keren kl off 2 bulan full. Ngamen nyampe kalibata &amp; naik diatap KRL lanjut ngumpul sama Oi. Kl sore liat Slank latian di halaman sama ada musisi lain. Itu kepuasan. https://t.co/SDBJ6PtgXU,1991209078765547837,https://pbs.twimg.com/ext_tw_video_thumb/1991209028521979905/pu/img/lQhr2N3jtf0PRFe5.jpg,,in,,0,1,0,https://x.com/undefined/status/1991209078765547837,156323783,
1990579492226805960,Wed Nov 19 17:35:12 +0000 2025,0,@anakodok2009 @flochart @rkx224 @zaidanmuda @BuayaEmpang Infonya sih dah pindah ke depok bang biar gampang n irit jd lebih pilih naik krl,1991198585602351258,,anakodok2009,in,,0,1,0,https://x.com/undefined/status/1991198585602351258,1683262733771485185,
1989279866299326889,Wed Nov 19 16:18:56 +0000 2025,0,@tubirfess kalo kaya ga naik KRL kali!! ngeluh doang kerjaan lo beli mobil belum mampu banyak bacot,1991179394313043996,,tubirfess,in,,0,0,0,https://x.com/undefined/status/1991179394313043996,1391479565873152000,
